2016-12-05T00:53:21.791-05:00 INFO    createFlight(seatsInFirstClass:10, seatsInBusinessClass:10, seatsInEconomyClass:10, flightDate:2016/12/05, flightTime:13;00, destinaition:NewDelhi). 
2016-12-05T00:54:26.119-05:00 SEVERE  an exception was thrown 
2016-12-05T00:59:18.649-05:00 INFO    createFlight(seatsInFirstClass:20, seatsInBusinessClass:20, seatsInEconomyClass:20, flightDate:2016/12/05, flightTime:13;00, destinaition:NewDelhi). 
2016-12-05T00:59:19.832-05:00 INFO    X 
2016-12-05T14:20:31.655-05:00 INFO    editFlightRecord(recordID:1, fieldName:flightDate, newValue:2016/12/13). 
2016-12-05T14:22:48.490-05:00 SEVERE  an exception was thrown 
2016-12-05T14:30:18.557-05:00 SEVERE  an exception was thrown 
2016-12-05T14:31:46.931-05:00 INFO    transferFlight(passengerID:1, currentCity:Washington, otherCity:NewDelhi) 
2016-12-05T14:35:21.140-05:00 SEVERE  an exception was thrown 
2016-12-05T16:03:57.365-05:00 SEVERE  an exception was thrown 
2016-12-05T16:42:25.256-05:00 INFO    editFlightRecord(recordID:1, fieldName:flightDate, newValue:2016/12/13). 
2016-12-05T16:46:19.778-05:00 SEVERE  an exception was thrown 
2016-12-05T16:50:24.101-05:00 SEVERE  an exception was thrown 
2016-12-05T16:52:34.056-05:00 SEVERE  an exception was thrown 
2016-12-05T16:53:27.760-05:00 SEVERE  an exception was thrown 
2016-12-05T16:55:13.968-05:00 INFO    editFlightRecord(recordID:1, fieldName:destinaition, newValue:Washington). 
2016-12-05T16:57:35.632-05:00 SEVERE  an exception was thrown 
2016-12-05T17:02:38.899-05:00 INFO    createFlight(seatsInFirstClass:10, seatsInBusinessClass:10, seatsInEconomyClass:10, flightDate:2016/12/12, flightTime:12;12, destinaition:Washington). 
2016-12-05T17:03:46.904-05:00 SEVERE  an exception was thrown 
2016-12-05T17:05:14.444-05:00 INFO    editFlightRecord(recordID:10, fieldName:flightTime, newValue:13;12). 
2016-12-05T17:05:15.479-05:00 SEVERE  an exception was thrown 
2016-12-05T17:05:58.587-05:00 INFO    createFlight(seatsInFirstClass:10, seatsInBusinessClass:10, seatsInEconomyClass:10, flightDate:2016/12/12, flightTime:13;13, destinaition:Washington). 
2016-12-05T17:07:03.159-05:00 SEVERE  an exception was thrown 
2016-12-05T17:08:06.637-05:00 INFO    editFlightRecord(recordID:10, fieldName:flightTime, newValue:12;12). 
2016-12-05T17:08:57.949-05:00 SEVERE  an exception was thrown 
2016-12-05T17:12:58.569-05:00 SEVERE  an exception was thrown 
2016-12-05T17:14:23.170-05:00 SEVERE  an exception was thrown 
2016-12-05T18:03:29.135-05:00 INFO    createFlight(seatsInFirstClass:10, seatsInBusinessClass:10, seatsInEconomyClass:10, flightDate:2016/12/16, flightTime:13;13, destinaition:Washington). 
2016-12-05T18:03:29.698-05:00 SEVERE  an exception was thrown 
2016-12-05T18:20:10.675-05:00 INFO    createFlight(seatsInFirstClass:10, seatsInBusinessClass:10, seatsInEconomyClass:10, flightDate:2016/12/05, flightTime:13;13, destinaition:Washington). 
2016-12-05T18:20:10.874-05:00 INFO    true:1 
2016-12-05T18:25:26.085-05:00 INFO    createFlight(seatsInFirstClass:10, seatsInBusinessClass:10, seatsInEconomyClass:10, flightDate:2016/10/16, flightTime:13;13, destinaition:Washington). 
2016-12-05T18:25:26.304-05:00 INFO    true:1 
2016-12-05T18:33:20.104-05:00 INFO    Getting BookedFlightCount for Class All.... 
2016-12-05T18:33:21.164-05:00 SEVERE  an exception was thrown 
2016-12-05T18:35:04.263-05:00 INFO    Getting BookedFlightCount for Class All.... 
2016-12-05T18:37:23.457-05:00 SEVERE  an exception was thrown 
2016-12-05T18:39:35.741-05:00 INFO    Getting BookedFlightCount for Class All.... 
2016-12-05T18:47:16.683-05:00 INFO    createFlight(seatsInFirstClass:10, seatsInBusinessClass:10, seatsInEconomyClass:10, flightDate:2016/12/12, flightTime:12;12, destinaition:Washington). 
2016-12-05T18:47:16.874-05:00 INFO    true:1 
2016-12-05T18:47:24.167-05:00 INFO    Getting BookedFlightCount for Class All.... 
2016-12-05T19:03:27.866-05:00 INFO    createFlight(seatsInFirstClass:20, seatsInBusinessClass:23, seatsInEconomyClass:11, flightDate:2016/12/05, flightTime:13;55, destinaition:Washington). 
2016-12-05T19:03:28.227-05:00 INFO    true:1 
2016-12-05T19:04:06.921-05:00 INFO    editFlightRecord(recordID:1, fieldName:flightDate, newValue:2016/12/03). 
2016-12-05T19:05:47.592-05:00 INFO    true:-1 
2016-12-05T19:10:35.151-05:00 INFO    createFlight(seatsInFirstClass:10, seatsInBusinessClass:10, seatsInEconomyClass:10, flightDate:2016/12/06, flightTime:13;13, destinaition:Washington). 
2016-12-05T19:10:35.402-05:00 INFO    true:1 
2016-12-05T19:11:09.950-05:00 INFO    editFlightRecord(recordID:1, fieldName:flightDate, newValue:2016/12/05). 
2016-12-05T19:11:10.031-05:00 INFO    true 
2016-12-05T19:14:39.271-05:00 INFO    createFlight(seatsInFirstClass:23, seatsInBusinessClass:23, seatsInEconomyClass:23, flightDate:2016/12/05, flightTime:13;55, destinaition:Washington). 
2016-12-05T19:14:39.467-05:00 INFO    true:1 
2016-12-05T19:15:01.158-05:00 INFO    editFlightRecord(recordID:1, fieldName:flightDate, newValue:2016/12/02). 
2016-12-05T19:15:01.284-05:00 INFO    true 
2016-12-05T19:15:40.202-05:00 INFO    Getting BookedFlightCount for Class All.... 
2016-12-05T19:18:42.575-05:00 INFO    deleteFlight(flightID:1) 
2016-12-05T19:18:42.576-05:00 INFO    true 
2016-12-05T19:20:25.756-05:00 SEVERE  an exception was thrown 
